order_id,weight (lbs),volume (in3)
21263,252.0,91656.0
21264,150.0,12000.0
21265,291.01,1464.576
21266,341.716,1876.61
21267,210.0,41160.0
21268,315.261,1419.662
21269,773.822,4243.364
21270,440.924,1650.088
21271,198.416,1874.657
21272,176.37,1874.657
21273,308.647,6310.734
21274,504.858,1581.742
21275,330.693,1898.09
21276,149.914,2148.044
21277,308.647,6310.734
21278,48.502,244.096
21279,330.693,1898.09
21280,242.508,827.973
21281,330.693,2343.321
21282,238.099,1183.377
21283,176.37,4613.413
21284,376.99,1717.947
21285,33.069,468.664
21286,2971.828,11247.94
21287,110.231,1265.393
21288,780.435,5623.97
21289,242.508,1129.066
21290,176.37,1467.81
21291,780.435,8435.955
21292,451.947,2372.612
21293,6816.685,24380.729
21294,723.115,4008.543
21295,1763.696,23726.124
21296,134.482,1757.491
21297,275.577,1493.867
21298,5291.088,10123.146
21299,110.231,1757.491
21300,782.64,5293.708
21301,515.0,234240.0
21302,220.462,2847.135
21303,246.917,448.16
21304,286.601,956.856
21305,1366.864,8787.453
21306,1309.0,277695.0
21307,1108.0,162180.0
21308,75.0,59489.0
21309,1686.534,8032.282
21310,661.386,4349.789
21311,480.0,36864.0
21312,645.0,122496.0
21313,736.0,45792.0
21314,50.0,20400.0
21315,210.0,41160.0
21316,692.251,4443.522
21317,430.0,41160.0
21318,205.03,1411.18
21319,44.092,518.704
21320,718.706,5877.83
21321,1649.056,7504.485
21322,414.469,2516.019
21323,66.139,1196.07
21324,3527.392,29087.447
21325,723.115,5223.409
21326,793.663,3998.291
21327,229.28,1086.288
21328,22.046,147.922
21329,231.485,932.935
21330,390.218,2230.793
21331,264.554,474.522
21332,1763.696,15311.772
21333,291.01,3749.313
21334,55.115,1581.742
21335,903.894,7381.461
21336,451.947,2505.34
21337,220.462,2847.135
21338,174.165,2416.916
21339,1272.066,5377.311
21340,903.894,7381.461
21341,903.894,7381.461
21342,892.871,5603.161
21343,108.026,1239.031
21344,352.739,3972.661
21345,330.693,2323.793
21346,37.479,1473.729
21347,220.462,2847.135
21348,1117.742,8324.403
21349,456.356,2056.081
21350,1851.881,10149.509
21351,604.066,2988.466
21352,458.561,887.045
21353,281.0,111360.0
21354,308.647,2929.151
21355,551.155,2460.487
21356,231.485,642.583
21357,407.855,5362.788
21358,165.346,1790.932
21359,200.0,69120.0
21360,264.554,783.792
21361,410.0,120960.0
21362,105.0,15288.0
21363,95.0,22400.0
21364,480.0,36864.0
21365,448.0,57500.0
21366,210.0,41160.0
21367,575.0,88493.0
21368,95.0,22400.0
21369,105.0,7425.0
21370,400.0,65880.0
21371,125.0,27625.0
21372,35.274,143.528
21373,210.0,41160.0
21374,550.0,35280.0
21375,626.0,162511.0
21376,125.0,27625.0
21377,220.462,2847.135
21378,55.115,503.631
21379,396.832,522.853
21380,529.109,549.216
21381,152.119,536.523
21382,121.254,1405.993
21383,903.894,7381.461
21384,650.363,3796.18
21385,458.561,0.061
21386,451.947,2655.764
21387,149.914,2434.674
21388,903.894,7381.461
21389,220.462,2847.135
21390,271.168,1296.149
21391,978.851,15877.83
21392,1408.752,5990.785
21393,251.327,1226.582
21394,13.228,170.135
21395,648.158,2022.945
21396,271.168,1296.149
21397,264.554,2050.406
21398,621.703,7498.627
21399,385.808,2723.195
21400,451.947,2505.34
21401,3968.316,15402.209
21402,88.185,160.127
21403,273.373,2062.122
21404,1014.125,3161.042
21405,2004.0,6199.243
21406,1069.241,6092.634
21407,341.716,1051.931
21408,443.129,2072.741
21409,1410.957,6092.634
21410,286.601,956.856
21411,286.601,956.856
21412,5511.55,28603.161
21413,575.406,1753.097
21414,1102.31,6458.778
21415,5599.735,12258.498
21416,3747.854,17012.51
21417,507.063,2694.819
21418,220.462,2847.135
21419,118.0,7980.0
21420,110.231,1886.495
21421,352.739,1205.529
21422,330.693,2530.787
21423,220.462,10755.843
21424,224.871,1757.491
21425,403.445,2004.272
21426,180.0,10368.0
21427,90.0,27000.0
21428,1200.0,139750.0
21429,144.0,24804.0
21430,200.0,57600.0
21431,300.0,65800.0
21432,30.0,27000.0
21433,881.848,2224.324
21434,105.0,19776.0
21435,410.0,66318.0
21436,266.0,22297.0
21437,1862.904,23901.873
21438,284.396,2084.701
21439,330.693,8238.238
21440,152.119,2434.674
21441,418.878,2962.836
21442,48.502,212.363
21443,152.119,2434.674
21444,661.386,6590.59
21445,15.432,529.688
21446,321.875,1329.896
21447,2427.287,15070.483
21448,952.396,3016.782
21449,925.94,9607.616
21450,275.577,1685.788
21451,321.875,1329.896
21452,440.924,2952.584
21453,440.924,2952.584
21454,1102.31,4480.137
21455,683.432,3875.267
21456,275.577,1685.788
21457,275.577,1685.788
21458,440.924,781.107
21459,235.894,1435.284
21460,615.089,4774.883
21461,235.894,1435.284
21462,1748.264,6198.938
21463,992.079,6590.59
21464,341.716,1722.463
21465,253.531,1874.657
21466,401.241,5623.97
21467,330.693,949.045
21468,522.0,87168.0
21469,1763.696,3163.483
21470,859.802,8699.579
21471,1322.772,15796.668
21472,251.327,1226.582
21473,225.0,23520.0
21474,17.0,46660.0
21475,280.0,29160.0
21476,280.0,29160.0
21477,140.0,16038.0
21478,640.0,150176.0
21479,250.0,28000.0
21480,39.683,1533.106
21481,661.386,4592.909
21482,859.802,8699.579
21483,670.204,10779.276
21484,540.132,11533.533
21485,1040.581,5272.472
21486,1649.056,3752.243
21487,154.323,2372.246
21488,573.201,1704.4
21489,10266.915,61786.782
21490,4409.24,56942.698
21491,1653.465,12996.644
21492,776.026,5389.638
21493,1102.31,1687.191
21494,306.442,1111.613
21495,286.601,1599.317
21496,813.505,4320.498
21497,1018.534,12653.933
21498,875.234,4583.328
21499,352.739,10768.048
21500,1739.445,5767.01
21501,66.139,1201.135
21502,1040.581,5272.472
21503,291.01,4335.144
21504,321.875,1751.999
21505,176.37,44523.098
21506,771.617,7322.878
21507,901.69,6332.825
21508,529.109,1687.191
21509,94.799,1438.213
21510,1851.881,10149.509
21511,798.072,3317.63
21512,326.284,3721.303
21513,1984.158,9031.305
21514,114.0,20100.0
21515,597.452,3397.815
21516,396.0,66318.0
21517,10800.0,1555200.0
21518,220.462,1423.567
21519,348.33,2155.855
21520,220.462,2847.135
21521,291.01,1589.065
21522,901.69,6332.825
21523,1840.858,8742.54
21524,425.0,83089.0
21525,114.0,20100.0
21526,19.0,331080.0
21527,158.0,43649.0
21528,285.0,24300.0
21529,162.0,37672.0
21530,102.0,25076.0
21531,180.0,33120.0
21532,1675.511,10091.902
21533,1274.27,6643.315
21534,12553.106,56942.698
21535,363.762,1449.93
21536,50.706,1681.333
21537,242.508,1926.527
21538,330.693,3082.443
21539,235.894,1435.284
21540,235.894,1435.284
21541,4.409,197.23
21542,1338.204,7829.987
21543,485.016,7967.291
21544,1849.676,9780.436
21545,231.485,1052.542
21546,1042.785,6441.753
21547,1040.581,5272.472
21548,242.508,1132.605
21549,149.914,1476.292
21550,529.109,5061.573
21551,266.759,1882.407
21552,961.214,6267.346
21553,310.851,1482.15
21554,4850.164,12842.68
21555,385.808,2323.793
21556,698.865,7394.642
21557,277.782,2538.598
21558,277.782,2538.598
21559,275.577,1640.569
21560,694.455,19771.77
21561,762.799,4843.84
21562,1587.326,5884.665
21563,560.0,118408.0
21564,158.733,1324.709
21565,264.554,1647.648
21566,804.686,2594.618
21567,315.261,2331.299
21568,328.488,3058.278
21569,113.0,1980.0
21570,1019.0,303160.0
21571,240.0,93984.0
21572,113.0,1980.0
21573,839.0,160272.0
21574,213.848,1977.177
21575,181.0,49600.0
21576,11023.1,46116.556
21577,50.706,896.32
21578,97.003,1576.249
21579,509.267,1673.705
21580,1223.564,6384.085
21581,330.693,2587.417
21582,198.416,4452.31
21583,198.416,4452.31
21584,88.185,213.584
21585,1261.043,7597.486
21586,559.973,1529.017
21587,559.973,1529.017
21588,606.27,3708.733
21589,606.27,3139.196
21590,661.386,4045.89
21591,209.439,1366.937
21592,925.94,6854.214
21593,22.046,1051.138
21594,617.294,5858.302
21595,5083.854,12094.526
21596,659.181,3200.83
21597,154.323,1844.511
21598,308.647,2682.736
21599,2215.643,23355.77
21600,1851.881,10149.509
21601,427.696,2735.949
21602,471.789,5226.338
21603,357.148,1968.39
21604,440.924,2658.205
21605,1547.643,20288.582
21606,1940.066,3161.042
21607,357.148,1968.39
21608,352.739,1230.243
21609,77.162,732.288
21610,2072.343,14393.849
21611,714.297,5626.899
21612,385.808,427.168
21613,271.168,1503.204
21614,308.647,2710.929
21615,105.822,1647.648
21616,881.848,4163.3
21617,385.808,2223.897
21618,1040.581,5272.472
21619,187.393,3770.062
21620,297.624,1076.463
21621,78.0,24576.0
21622,297.624,949.045
21623,617.294,4232.623
21624,105.0,23625.0
21625,410.0,69552.0
21626,128.0,13520.0
21627,38.0,18492.0
21628,300.0,49680.0
21629,1200.0,172800.0
21630,163.0,43680.0
21631,529.109,7627.51
21632,150.0,20280.0
21633,202.0,61000.0
21634,679.023,2868.432
21635,240.304,1939.22
21636,687.841,4877.037
21637,368.172,2833.954
21638,4770.798,5473.851
21639,348.33,2512.846
21640,227.076,585.83
21641,297.624,1474.828
21642,2645.544,6846.891
21643,249.122,2861.598
21644,249.122,1362.055
21645,348.33,1796.546
21646,1433.003,19376.335
21647,396.832,404.223
21648,85.98,2489.534
21649,1719.604,5471.898
21650,451.947,2442.18
21651,771.617,7322.878
